4138,Aachen,"Our topic is reclaimation of phosphate from waste water.We want to express phosphate-binding-proteins (PBP), in E. coli. The goal is to express and immobilize the protein and to bind phosphat. After the binding of the phosphate we want to reach a controlled release of the phosphat through different methods. We currently have three to four approches. Realease through pH and temperature, light and electricity. "
4159,Aalto-Helsinki,"Our aim is to design DARPins that will bind to AIP1, which is produced by Staphylococcus epidermidis (S. epidermidis). Biofilm formation of S. epidermidis shall be decreased via our produced DARPin. In order to check successful binding of AIP1 and our DARPin we plan to design a biosensor in Escherichia coli (E. coli) by transforming them with a plasmid that produces AgrA, AgrC and GFP. Additionally, E. coli are utilised for plasmid amplification of plasmids that are required for building the biosensor and the DARPin library i.e. pRDV. Furthermore, E. coli used for protein expresssion of introduced proteins i.e. GFP and DARPins. "
4207,Aboa,"WeÃ¢ÂÂre developing a cell-free system for detecting plant viruses. The system will be based on E. coli BL21-Gold-dLac (DE3) (Addgene #99247) cell lysate. WeÃ¢ÂÂll also create a cell-free system based on the same strain, but which has pAD-LyseR plasmid (Addgene #99245). We will create a library of toehold switches for various plant pathogens and test out the switches for BYDV detection., which would be added to the cell-free TX-TL-system to produce the toeholds, which regulate the expression of beta-galactosidase, mScarlet or mScarlet-I, depending on the construct."
4140,AFCM-Egypt,"Our whole cell biosensor along with Aptamers modified with gold nanoparticles all immobilized on a lateral flow assay will be able to sense the levels of phenylalanine in the blood sample. Where the AuNP-conjugated Aptamers will consume the normal level of phenylalanine, while the whole cell e.coli biosensor that is vacuume freezed on the whatman paper  LFA will sense the excess levels of phenylalanine that are above normal."
4396,AHS_Peking,We are planning to develop a synthetic promoter that can respond to different concentration of chromium (VI) in the environment. A luciferase reporter gene will be cloned under the chromium (VI)-responding promoter and expressed in E. coli. The recombinant E. coli strain can then be used to detect the concentration of chromium (VI) in different environment samples.
4189,Aix-Marseille,"Our main goal is to reduce microplastic pollution in the sea. In this matter, we plan to engineer a ""plasticosome"" capable to do so. Indeed, Escherichia coli will be engineered in order to be able to produce and secrete this structure capable of degrading microplastic and more specifically the 3 categories of plastic most present in de Mediterranean Sea (polyethylene, polypropylene and polystyrene), which is one of the most polluted seas in the world. This plasticosome is in fact a modified cellulosome (from R. cellulolyticum) which its CBM (Carbohydrate binding module) in PBM (Plastic binding module) thanks to nanobodies with high affinity for these types of plastics. In fact, this nanobodies will be selected by the phage display technique.  This plasticosome which will have a high affinity for PE, PP and PS microplastic, will have as well at its surface different types of enzymes capable of degrading this type of plastic. These enzymes will be fused with dockerins, a protein which interact with cohesines the structure proteins from the cellulosome.We will start with one type of enzyme, the laccases. These enzymes are more and more studied for their degradating activity of very big polymers such as plastics. The laccases that we will use are the Laccase from B.subtilis and T.versicolor because in recent scientific papers they have been characterized for having a greater activity against polyethylene, polypropylene and polystyrene."
4166,Alma,"The goal of our project is to take our genetically engineered bacteria plasmid in a controlled container in order to test for contamination of the pollutant DDT/X. For this to work the plasmid is separated into nine different segments and will be transformed together into one bacteria unit that will indicate using red fluorescence upon the detection of DDT/X in a select soil sample. If the plasmid works as expected, the fluorescence will be dull or bright based on the level of the pollutant found in the select soil sample. This design is rendered around the idea of being an at home soil sampling test for residents of Alma Michigan in the attempts to be able to detect soil contaminants on the civilians property and get the contaminants removed if detected.   "
4503,Anatolia_College_HS,"Our bacteria will be engineered to produce the enzyme nitrate reductase. We will take the enzymes produced in the bacteria and immobilize them on a water filter that will reduce the nitrate concentration found in water, which originates from common fertilizers. Our city Thessaloniki has a big problem with eurtrophication of Thermaikos Gulf.  Our project is a step towards proposing a possible  solution and aiming to raise awareness about the problem of our Gulf.  "
4186,AshesiGhana,"Our project seeks to reduce both environmental degradation involved in the mining exploration stage.  We seek to engineer an organism that signals gold prospects in a location. This bacterium will serve as a multifunctional biosensor which only produces a bioindicator when pathfinder elements, or Au, are found in the regolith of an area.  "
4334,ASIJ_Tokyo,Our aptamers will be modified with fluorophores and quenchers to create a novel FRET-based DNA probe. They will detect biomarkers associated with breast cancer and fluoresce when they bind to said biomarkers. This will allow us to quantify the amount of.biomarker using a standard curve.
4455,ASU,"Our project aims to engineer the microalga C. reinhardtii to be able to bioaccumulate arsenic in the hopes that it can act as a biological filter to filter contaminated groundwater. To do this, we will transform two genes into the C. reinhardtii nucleus: phytochelatin synthase (PCS) and arsenate reductase (ARR2p). Phytochelatins are naturally-occuring proteins in many plants, including C. reinhardtii, that bind to heavy metals in the environment and transport them to the cellÃ¢ÂÂs vacuole. By expressing an additional PCS gene, C. reinhardtii will be able to sequester more arsenic. However, phytochelatins can only form complexes with arsenite, but arsenite and arsenate both exist in water sources. Thus, the ARR2p gene is needed to reduce all arsenate ions to arsenite before they can bind to phytochelatins and be stored in the vacuole."
4294,Athens,"Inspired by Computer Science, we aim to build a biological analogue of a ""perceptron"", an algorithm that plays the role of a linear classifier and comprises the fundamental structural and functional unit of an artificial neural network. To achieve that, we plan to genetically engineer two separate E.coli populations, known as ""layers"" in Computer Science. The first population, the sender cells, will be further divided into three subpopulations, each recognizing atc (anhydrotetracycline) as a chemical input at a different level or ""weight"", as is the appropriate term. Different weights will be assigned by incorporating different RBS (ribosome binding site) sequences into each subpopulation's main construct. Thus, each sender subpopulation will be induced to produce OC6, a quorum sensing molecule, at a different extent. Given that cross-talk among different sender subpopulations will be confined, the total sum of the quorum sensing signal will then stimulate the second population, the receiver cells, to produce a binary output (1 or 0 in Computer Science) in the form of (high) fluorescence or lack of fluorescence (low fluorescence) respectively via a steep activation function.In other words, our goal is to realize a cellular communication system with the property of pattern recognition through cellular decision making.We plan to develop our project at a foundational level; however, we hope the system we propose will have future implementations as a novel type of biosensor that displays basal artificial intelligence."
4342,Austin_UTexas,"We will engineer Acinetobacter baylyi bacteria (ADP1) to detect P. destructans, a fungus that causes White Nose Syndrome (WNS), from environmental samples collected in the bat hibernacula. Homologous recombination of the target P. destructans sequence into the ADP1 genome will initiate a signal cascade resulting in antibiotic resistance and a fluorescent signal. Antibiotic resistance and a fluorescent signal will confirm the presence of the WNS causing fungus. "
4501,Barcelona_UB,"We are going to genetically engineer a HEK293 derived cell line to boost the exosome biogenesis and incorporate molecular features to improve the cargo sorting and the exosome purification. For that, we plan to stably transfect the 293F cell line with exosome boosters and modified versions of CD63 incorporating cargo loaders and Hist-tag."
4290,Beijing_United,"More and more researchers are focusing on the enzymatic degradation of PET, which is a more environmentally friendly degradation and recovery method than chemical and physical recovery. In this study, a highly efficient secretion system of PET-degrading enzyme was established in the signal peptide PelB and coli-releasing protein Kil in E. coli BL21 (DE3), which not only improved the enzyme yield, but also greatly simplified the purification process of PET-degrading enzyme, providing a more convenient tool for further research of the enzyme. In addition, we will also source Schlegelella brevitalea sp. Nov.'s PET hydrolase SbPETase was rationally designed and used the established secretion system to quickly screen for three mutants with significantly increased activity"
4521,BentoTied,
4400,BFSU-ICUnited,Our Escherichia coli cells will be engineered to have tyrosinase displayed on their cell surface. The tyrosinase will detect and oxidize bisphenol A and generate an electric signal. The engineered E.coli will be immobilized on electrode and be the detective component of a biosensing device for bisphenol A.
4120,BGU_Israel,our goal is to design a bio-sensor for certain amino acids.our engineered organism is Escherichia Coli and our synthetic biology tool is PCR based genetic engineering. through protein engineering we will improve electrode-enzyme communication in order to create a highly sensitive bio-sensor.
4476,Bilkent_UNAM,"Our bacteria will be engineered to produce a chimeric protein, a modified version of botulinum neurotoxin (without the toxic domain) in order to deliver the deficient SMN1 protein to the motor neurons."
